##############################################################################################
#                         CosmicWatch: The Desktop Muon Detector v2.1
#                                  Questions? saxani@udel.edu
#                                     Detector Name: AxLab                                     
# Event  Time[s]  Coincident[bool]  ADC[0-4095]  SiPM[mV]  Deadtime[s]  Temp[C]  Pressure[Pa]
#############################################################################################
1	0.019066	0	205	12.7	0.000057	23.2	101565
2	0.038201	0	282	20.0	0.000315	23.2	101565
3	0.139584	0	205	12.7	0.000527	23.2	101565
4	0.165010	0	474	37.0	0.000721	23.2	101565
5	0.213677	0	234	15.5	0.000913	23.2	101565
6	0.262224	0	274	19.2	0.001104	23.2	101565
7	0.296190	0	168	9.0	0.001296	23.2	101565
8	0.327003	0	875	73.5	0.001488	23.2	101565
9	0.329388	0	1779	149.2	0.001678	23.2	101565
10	0.330941	0	715	58.7	0.001851	23.2	101565
11	0.415306	0	294	21.0	0.002012	23.2	101565
12	0.423925	0	558	44.9	0.002203	23.2	101565
13	0.499807	0	267	18.6	0.002388	23.2	101565
14	0.571292	0	282	20.0	0.002580	23.2	101565
15	0.619817	0	402	30.5	0.002773	23.2	101565
16	0.624495	0	184	10.6	0.002963	23.2	101565
17	0.671415	0	472	36.8	0.003149	23.2	101565
18	0.733568	0	285	20.2	0.003336	23.2	101565
19	0.761976	0	374	28.0	0.003523	23.2	101565
20	0.773357	0	176	9.8	0.003709	23.2	101565
21	0.930021	0	630	51.5	0.003899	23.2	101565
22	0.963427	0	729	59.9	0.004086	23.2	101565
23	0.966956	0	596	48.5	0.004277	23.2	101565
24	0.970442	0	215	13.6	0.004447	23.2	101565
25	0.973827	0	278	19.6	0.004605	23.2	101565
26	1.005166	0	504	39.7	0.004763	23.2	101565
27	1.033983	0	277	19.5	0.004954	23.2	101565
28	1.077965	0	417	31.9	0.005144	23.2	101565
29	1.147830	0	438	33.8	0.005335	23.2	101565
30	1.148886	0	235	15.6	0.005528	23.2	101565
31	1.150279	0	196	11.8	0.005699	23.2	101565
